"","PROLIFIC_PID","I.would.feel.a.sense.of.loss.if.an.intelligent.system.was.unavailable.and.I.could.no.longer.use.it.","Intelligent.systems.help.me.to.understand.the.world.around.me.","Intelligent.systems.help.me.to.plan.","I.spend.a.lot.of.my.time.interacting.with.intelligent.systems.on.an.average.day.","I.m.concerned.that.intelligent.systems.will.collect.too.much.personal.information.from.me.","I.worry.that.intelligent.systems.will.lead.to.a.surveillance.state.","I.m.worried.about.the.general.safety.of.intelligent.systems.","I.am.suspicious.of.an.intelligent.system.s.action..or.outputs.","I.have.the.knowledge.necessary.to.use.intelligent.systems.","I.find.it.easy.to.learn.to.use.new.intelligent.systems.","Intelligent.systems.are.difficult.to.navigate.","I.find.intelligent.systems.easy.to.use.","Truck.driving.should.be.left.to.humans.rather.being.handled.by.a.system.","Deliveries.of.products.to.customers.can.only.be.done.by.humans.","I.would.not.use.a.self.driving.driverless.car.as.my.primary.means.of.transportation.","Final.decisions.about.who.to.hire.for.a.job.should.be.made.by.qualified.people.and.not.by.automated.hiring.systems.","When.sentencing.persons.convicted.of.crimes..automated.systems.should.be.used.instead.of.human.judges.or.juries.","Automated.education.systems.are.more.effective.than.human.led.classrooms.","Music.streaming.applications.have.the.ability.to.make.music.recommendations.for.me.that.I.will.enjoy.","When.shopping.online.personalized.computer.generated.ads.are.very.helpful.recommendations.","Social.media.feeds.are.useful.for.suggesting.content.that.I.would.like","abilitySub","integritySub","understandingSub","intTotal","abilityDiff","integrityDiff","understandingDiff","intTotalDiff","transportSub","decisionSub","socialSub","specTotal","transportDiff","decisionDiff","socialDiff","Final.Dot.Difference","Num.Of.Trials","Choice.of.Human","Choice.of.Algorithm","Human.Trials.Changed.to.Algor","Algor.Trials.Changed.to.Human","Algor.Default.Trials.Not.Changed","Human.Default.Trials.Not.Changed","Block.4.Human.Acc","Block.4.Algor.Acc","Human.Choice.After.Block.4","Algor.Choice.After.Block.4","Advisor.Changed","Left.Box.Chosen","Preference.Strength","Max.Cj","Min.Cj","Cj.Range","Num.of.Unique.Cj.Values","Advice.Ignored.Trials","Mean.Cj.Change","Cj1.Mean.Resolution","Cj2.Mean.Resolution","Mean.Cj1.Accuracy","Mean.Cj2.Accuracy","Sway.of.Human.Advice","Sway.of.Algor.Advice","Mean.RT1","Mean.RT2","Mean.CTC","AccQuant1","AccQuant2","AccQuant3","AccQuant4","AdvQuant1","AdvQuant2","AdvQuant3","AdvQuant4","CjQuant1","CjQuant2","CjQuant3","CjQuant4","Mean.Cj1","Mean.Cj2","St.Dev.Cj1","St.Dev.Cj2","Human.Agreed..","Algor.Agreed..","Algor.Agreed...Diff","Human.Agreed.Conf.Diff","Algor.Agreed.Conf.Diff","Human.Disagreed.Conf.Diff","Algor.Disagreed.Conf.Diff","Algor.Relative.Influence","dd.Block.1.End","dd.Block.2.End","Block.1.Accuracy","Block.2.Accuracy","The.human.advisor.is.reliable.","I.am.confident.in.the.human.advisor.","I.can.trust.the.human.advisor.","The.human.advisor.is.dependable.","The.computer.advisor.is.reliable.","I.am.confident.in.the.computer.advisor.","I.can.trust.the.computer.advisor.","The.computer.advisor.is.dependable.","This.task.would.be.much.harder.without.an.advisor.","I.believe.the.human.s.advice.was.from.a.real.person.who.was.a.past.participant.","I.believe.the.computer.s.advice.was.from.a.real.algorithm.","I.feel.that.the.task.was.too.easy.","humanTrustReport","algorTrustReport","algorTrustDiff","influenceR","humanAgConfDiffR","humanDisConfDiffR","algorAgConfDiffR","algorDisConfDiffR"
"14","5d26d07028899100016eb25c",5,6,5,5,2,2,3,3,6,6,5,6,5,6,3,2,2,6,6,6,5,21,10,23,54,5,-6,7,6,14,10,17,41,2,-2,5,14,240,0.025,0.975,0.95,0,1,0.05,0.769,0.723,0.008,0.992,0.475,0.371,0.475,34,5,29,26,17,4.221,8.856,5.39,0.788,0.788,1.075,0.487,1.545,1.456,3.461,0.965,0.694,0.673,0.911,0.877,0.755,0.855,0.821,0.237,0.204,0.229,0.233,16.804,14.042,5.472,5.551,0.8,0.775,-0.025,-0.656,-0.433,-2.75,-0.667,-1.86,14,14,0.7,0.633,4,4,4,4,4,4,3,4,2,2,2,2,16,15,-1,1.23809523809524,-1.32142857142857,-11,0,-10.9166666666667
"15","5d45dfff082935001aed2fe7",5,6,6,4,5,5,4,4,3,6,1,6,6,2,4,4,5,5,5,4,6,21,18,16,55,5,2,0,7,12,14,15,41,0,2,3,15,240,0.494,0.506,0.0125,0,1,0.9875,0.857,0.656,0.5,0.5,0.00625,0.221,0.006,32,7,25,25,18,4.346,8.072,5.489,0.633,0.717,1.081,1.9,0.828,0.785,2.79,0.855,0.552,0.641,0.6,0.473,0.534,0.538,0.52,0.229,0.242,0.163,0.208,17.825,16.974,4.729,6.089,0.744,0.854,0.11,-0.036,-2.343,-4.333,1.2,-7.84,15,15,0.367,0.6,4,4,4,4,5,4,4,4,3,5,4,1,16,17,1,6.72487922705314,-1.75,-15.2666666666667,-0.869565217391304,-21.1111111111111
"16","5d5a7d896c04b2001a1edff8",1,2,5,5,1,6,6,2,3,3,3,3,1,1,2,1,2,2,6,6,5,13,15,12,40,-3,-1,-4,-8,4,5,17,26,-8,-7,5,13,240,0.969,0.031,0.0125,0.95,0.05,0.9875,0.689,0.733,1,0,0.48125,0.625,0.469,42,1,41,29,0,10.938,1.267,2.412,0.662,0.704,4.75,4.324,1.427,1.409,3.427,0.807,0.581,0.5,0.771,0.193,0.209,0.179,0.167,0.237,0.179,0.233,0.2,9.979,18.705,6.08,12.223,0.825,0.8,-0.025,-6.414,-6.103,2.143,2.125,0.328,13,13,0.567,0.633,4,3,4,2,2,2,3,2,4,4,4,2,13,9,-4,-2.52797798961482,15.5217391304348,-11.2941176470588,16.4545454545455,-7.83333333333333
"17","5d8794b64a462d001a65469d",2,4,5,3,1,2,1,2,3,4,6,6,5,7,4,1,1,2,6,5,1,14,6,19,39,-2,-10,3,-9,16,4,12,32,4,-8,0,8,240,0.4,0.6,0.6375,0.4375,0.5625,0.3625,0.739,0.649,0.433,0.567,0.5375,0.275,0.1,46,1,45,35,30,8.792,0.641,0.474,0.642,0.658,2.244,5.5,4.031,3.66,5.671,0.805,0.5,0.564,0.685,0.488,0.556,0.615,0.519,0.171,0.15,0.163,0.225,8.075,13.955,8.915,14.299,0.78,0.795,0.014,-0.938,6.792,-6.889,1.625,-0.785,12,8,0.633,0.767,1,1,1,1,1,1,1,1,3,4,4,2,4,4,0,-10.0155502392345,14.8181818181818,-9.26315789473684,7.31578947368421,-6.75
"18","5d8b81a04733e500170bfcd7",3,5,5,3,3,3,3,4,5,5,5,4,5,5,4,4,4,3,4,3,4,16,13,19,48,0,-3,3,0,14,11,11,36,2,-1,-1,12,240,0.35,0.65,0.3,0,1,0.7,0.889,0.647,0.467,0.533,0.15,0.438,0.15,18,1,17,16,48,1.975,3.438,3.817,0.842,0.862,0.39,0.308,1.197,1.108,3.126,0.906,0.952,0,0.797,0.491,0.714,0,0.593,0.221,0.175,0,0.246,6.254,7.216,2.307,3.802,0.634,0.667,0.033,0.346,0.077,0.467,0.769,-0.572,12,12,0.767,0.7,2,2,2,3,2,2,2,3,1,4,3,2,9,9,0,0.292044817927171,0.333333333333333,-1.41176470588235,0.68,-1.35714285714286
"19","5d962de43d59240015f2e606",4,5,4,5,2,2,3,2,6,5,5,6,3,5,1,2,4,1,5,3,2,18,9,22,49,2,-7,6,1,9,7,10,26,-3,-5,-2,13,240,0.5,0.5,0,0,1,1,0.867,0.6,0.5,0.5,0,0.217,0,16,4,12,13,93,0.833,0.598,0.199,0.467,0.642,0.514,0.667,3.064,2.678,4.695,0.527,0,0.342,0.609,0.473,0,0.579,0.413,0.229,0,0.158,0.192,8.254,7.647,1.897,1.869,0.927,0.846,-0.081,-0.559,-0.767,0,-0.167,-0.041,14,13,0.667,0.633,4,4,4,3,3,2,3,3,4,4,3,2,15,11,-4,-1.3100845410628,-0.111111111111111,-13.1739130434783,0.1875,-11.5652173913043
"20","5dc015e49db86f45df7a0077",5,5,5,6,2,3,2,2,2,3,4,4,6,7,6,2,6,2,6,2,5,21,9,13,43,5,-7,-3,-5,19,10,13,42,7,-2,1,9,240,0.444,0.556,0.5125,0.4,0.6,0.4875,0.645,0.724,0.425,0.575,0.45625,0.425,0.056,50,8,42,33,141,1.525,7.846,7.001,0.725,0.712,0.049,0.026,3.98,1.846,3.85,0.831,0.731,0.54,0.793,0.475,0.596,0.44,0.603,0.246,0.217,0.208,0.242,35.746,35.929,10.349,10.837,0.659,0.667,0.008,-0.37,-0.192,0.857,0.462,0.574,7,9,0.8,0.633,3,3,4,4,2,1,2,2,2,2,2,3,14,7,-7,-0.0897435897435894,0.666666666666667,-1,0.0384615384615385,-1.53846153846154
"21","5dc4b80162ec503817640faf",3,4,5,5,5,5,5,3,4,7,6,7,1,5,1,1,1,3,5,3,5,17,18,24,59,1,2,8,11,7,5,13,25,-5,-7,1,13,240,0.863,0.137,0.075,0.8,0.2,0.925,0.723,0.692,0.842,0.158,0.4375,0.479,0.363,19,1,18,15,109,1.017,1.058,1.325,0.608,0.692,1.031,0.919,2.74,2.493,4.512,0.771,0.627,0.565,0.596,0.125,0.216,0.326,0.298,0.2,0.212,0.192,0.196,3.825,3.221,2.975,2.916,0.9,0.9,0,-1.036,-1,-1,-0.25,-0.714,14,13,0.533,0.7,3,2,2,4,3,2,2,4,4,5,4,1,11,11,0,-0.789473684210527,-0.0526315789473684,-4.85714285714286,-0.142857142857143,-4.15789473684211
"22","5e152c33814bbab3e0eb7371",3,5,6,1,3,6,5,5,5,5,6,5,3,3,5,1,1,1,6,1,6,15,19,21,55,-1,3,5,7,11,3,13,27,-1,-9,1,14,240,0.044,0.956,0.95,0.0375,0.9625,0.05,0.833,0.75,0.05,0.95,0.49375,0.833,0.456,50,1,49,49,31,8.592,7.75,5.246,0.683,0.754,0.487,3.929,2.325,2.044,4.047,0.948,0.643,0.5,0.667,0.845,0.768,0.776,0.85,0.242,0.233,0.242,0.25,27.5,33.456,16.693,16.885,0.634,0.718,0.084,-5.167,-7.882,7,2.182,2.102,15,14,0.567,0.567,4,3,4,5,2,4,4,3,4,5,3,2,16,13,-3,2.53565062388592,7.33333333333333,-7.29411764705882,10.1176470588235,-7.04545454545455
"23","5e2707ab5299ce926cdcc3d9",6,5,5,3,5,5,3,2,5,6,2,6,2,2,2,2,6,4,6,5,6,19,15,19,53,3,-1,3,5,6,12,17,35,-6,0,5,14,240,0.006,0.994,1,0.0125,0.9875,0,0.7,0.76,0.008,0.992,0.50625,0.629,0.494,50,2,48,43,38,14.121,1.486,1.027,0.583,0.708,0.114,6.242,1.62,1.688,3.691,0.632,0.544,0.481,0.635,0.86,0.807,0.815,0.808,0.237,0.237,0.225,0.217,18.6,33.49,13.649,12.797,0.625,0.9,0.275,-0.286,6.931,0.143,1.25,6.11,14,14,0.467,0.633,2,2,2,2,2,4,4,4,5,3,4,1,8,14,6,44.7628541049594,1.38095238095238,-5.31578947368421,20.1818181818182,-31.2777777777778
"24","5e2790f18459669c2c6b1736",2,4,4,7,3,3,5,3,6,6,6,6,4,5,4,2,4,2,6,5,5,17,14,24,55,1,-2,8,7,13,8,16,37,1,-4,4,9,240,0.706,0.294,0.3125,0.725,0.275,0.6875,0.759,0.742,0.775,0.225,0.51875,0.692,0.206,45,1,44,40,38,4.008,2.718,1.52,0.712,0.712,1.833,0.528,1.083,1.102,3.108,0.714,0.661,0.636,0.891,0.411,0.357,0.4,0.304,0.233,0.233,0.229,0.192,11.842,10.94,9.935,10.161,0.75,0.7,-0.05,1.538,-1.25,2.6,4.083,-4.272,7,9,0.867,0.667,2,3,2,3,2,2,2,2,2,4,4,2,10,8,-2,0.625,1.5,-4.875,1.5,-5.5
"25","5e35e1e5077089582bae3a34",5,2,6,3,3,2,2,2,6,5,5,5,3,6,3,2,4,5,2,1,5,16,9,21,46,0,-7,5,-2,12,11,8,31,0,-1,-4,11,240,0.444,0.556,0.6125,0.5,0.5,0.3875,0.615,0.676,0.467,0.533,0.55625,0.529,0.056,45,4,41,39,119,4.621,6.466,1.954,0.829,0.825,0.895,0.667,1.878,1.795,3.805,0.855,0.729,0.8,0.897,0.564,0.5,0.527,0.586,0.229,0.2,0.229,0.242,26.217,24.797,8.381,10.835,0.675,0.75,0.075,-1.32,-0.154,-0.077,2.8,-1.711,14,11,0.633,0.733,4,3,2,3,2,2,4,4,4,4,4,2,12,12,0,6.27083333333333,-0.208333333333333,-6.75,0.375,-12.4375
"26","5e418df8a3b8cc01e3363110",5,5,4,5,1,4,4,5,7,6,6,6,2,4,1,1,1,2,7,5,6,19,14,25,58,3,-2,9,10,7,4,18,29,-5,-8,6,11,240,0.438,0.562,0.4125,0.2875,0.7125,0.5875,0.6,0.7,0.5,0.5,0.35,0.196,0.062,50,2,48,48,2,15.375,7.275,1.357,0.667,0.704,7.425,7.583,1.652,2.183,4.19,0.831,0.576,0.574,0.69,0.542,0.61,0.444,0.5,0.246,0.246,0.225,0.242,26.912,21.693,11.213,18.016,0.829,0.692,-0.137,-5.212,-1.88,-17.857,-20.545,6.02,12,11,0.767,0.733,3,3,3,4,1,1,2,2,2,4,3,1,13,6,-7,-2.07406015037594,7.65,-28.5714285714286,8.2,-25.9473684210526
"27","5e47c24de4317f27a1b10996",4,4,5,3,2,2,2,3,7,6,6,6,6,7,4,4,4,2,7,4,5,16,9,25,50,0,-7,9,2,17,10,16,43,5,-2,4,13,240,0.175,0.825,0.65,0,1,0.35,0.812,0.659,0.183,0.817,0.325,0.404,0.325,40,5,35,30,0,5.292,9.369,7.739,0.742,0.758,0.875,0.641,1.746,3.757,5.773,0.881,0.717,0.804,0.547,0.729,0.826,0.732,0.547,0.246,0.192,0.233,0.221,17.571,20.187,6.112,7.847,0.7,0.65,-0.05,1.286,0.24,-0.083,1.357,-2.486,14,13,0.6,0.667,3,3,3,3,4,4,3,4,4,1,3,2,12,15,3,0.963333333333333,5.12,-7.66666666666667,4.1,-9.65
